id,z_2017_25Sites,zbar_2017_25Sites,x_2017_25Sites,gamma_25Sites,theta_25Sites,d_theta_winsorized_2017,pasture_area_2017,amazonBiomeArea_ha_25Sites,siteArea_ha_25Sites,forestArea_1995_ha_25Sites,z_1995_25Sites,zbar_1995_25Sites,forestArea_2017_ha_25Sites,forestArea_2008_ha_25Sites,z_2008_25Sites,zbar_2008_25Sites,gamma2017_25Sites,alpha_25Sites,kappa_25Sites,zeta_25Sites,zeta_alt_25Sites,x_1995_25Sites,x_2008_25Sites,theta2017_25Sites,p_2017_25Sites
1,5589.185180833704,5923957.508432743,5004234533.764124,845.5429369111139,0.5936041348407826,0,15890.10263296048,5983815.8727424415,28921922.75,5915978.035826258,5418.676485287174,5921396.712311545,5918368.32325191,5921017.927104134,3927.0213330174947,5924944.9484371515,845.5429369111139,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,5002213443.114178,5006474887.586986,0.5936041348407826,44.758760469833035
2,787674.0828325496,16269303.58486741,10022504657.318733,647.3804747750489,0.7682765633769547,0,1019451.8917082429,21167120.751716275,28921922.75,16035738.780155277,271019.0558836985,16306757.836038975,15481629.502034862,15684485.63458861,632147.5930891209,16316633.22767773,647.3804747750489,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,10381224184.865587,10153829756.722408,0.7682765633769547,44.758760469833035
3,9646.86174464566,8317106.10191384,4461334637.68025,537.0275686828875,0.5739133498219661,0,116488.11200548601,8842695.163339837,28921922.75,8300092.306773948,10191.917448815513,8310284.224222763,8307459.240169194,8300316.191244833,6764.560493727255,8307080.75173856,537.0275686828875,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,4457378391.350352,4457498623.4834175,0.5739133498219661,44.758760469833035
4,128634.50305749544,11492722.447467552,5141706979.465169,452.4522341446989,0.348844176901611,0,453165.27510693966,13137913.82653348,28921922.75,11344707.958892148,84274.64524978033,11428982.604141928,11364087.944410058,11353851.610153772,100327.98497955914,11454179.59513333,452.4522341446989,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,5132938461.719899,5137075527.161461,0.348844176901611,44.758760469833035
5,16248.65368515371,3641993.1190672847,3332127120.299016,919.0187428026125,0.6297199667912052,0,571.5543281987076,3741019.2315529953,28939360.5,3630264.734758855,16582.060745840346,3646846.7955046953,3625744.465382131,3636900.941935866,10846.282203426443,3647747.2241392927,919.0187428026125,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,3336281332.578742,3342380131.355537,0.6297199667912052,44.758760469833035
6,77127.05958015787,27941871.289380487,21736302590.701157,780.0646728152981,0.7959284321728184,0,5451.497869469931,28939360.5,28939360.5,27921953.76698534,61927.124465827255,27983880.891451165,27864744.22980033,27913350.885774102,59209.27676813518,27972560.16254224,780.0646728152981,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,21780929729.607296,21774218925.889984,0.7959284321728184,44.758760469833035
7,413615.3758627868,26031526.108376425,13882292857.548466,541.8979323684423,0.8977563748024525,0,174329.30604920554,28939360.5,28939360.5,26051629.69054895,188282.21130612583,26239911.901855074,25617910.732513636,25843305.165644884,252799.53503947772,26096104.70068436,541.8979323684423,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,14117324264.136797,14004433634.829647,0.8977563748024525,44.758760469833035
8,1415637.311141416,26494123.956564173,11343785138.181288,452.3313267888801,0.6902415201623321,0,772019.4621657147,28939360.5,28939360.5,25596087.14585167,937833.4460142598,26533920.59186593,25078486.645422757,25309359.60636218,1168715.5833505755,26478075.189712755,452.3313267888801,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,11577912059.286886,11448216210.922693,0.6902415201623321,44.758760469833035
9,2975490.4028124437,25883433.48511094,9333399201.992786,407.43069635112386,0.8087857779379654,0,2172039.51442331,28922502.584513273,28939360.5,24831588.616439566,1156831.1257173251,25988419.742156893,22907943.082298495,23419884.2777839,2511175.990773456,25931060.268557355,407.43069635112386,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,10117151441.500612,9541979759.760233,0.8087857779379654,44.758760469833035
10,7911410.245586968,18981310.077376597,3543567246.779408,320.10833888517067,1.1800853708202852,0,3741041.785301079,22282205.25645397,28939360.5,14049327.531278573,5070403.426542057,19119730.95782063,11069899.831789628,11391581.512522487,7619200.076479673,19010781.589002162,320.10833888517067,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,4497306898.491281,3646540235.248594,1.1800853708202852,44.758760469833035
