id,z_2017_1055Sites,zbar_2017_1055Sites,x_2017_1055Sites,gamma_1055Sites,theta_1055Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2017,siteArea_ha_1055Sites,amazonBiomeArea_ha_1055Sites,forestArea_2017_ha_1055Sites,otherArea_2017_ha_1055Sites,forestArea_1995_ha_1055Sites,otherArea_1995_ha_1055Sites,z_1995_1055Sites,zbar_1995_1055Sites,gamma2010_1055Sites,gamma2017_1055Sites,gamma2018_1055Sites,gammaSD_1055Sites,alpha_1055Sites,kappa_1055Sites,zeta_1055Sites,zeta_alt_1055Sites,theta2017_1055Sites,theta2006_1055Sites,thetaSD_1055Sites,p_2017_1055Sites
16,217.4078214,323126.6355,187383010.5,580.2962396,0.021962943,0,0,25203.19518,451631.9688,326445.3821,322909.2276,3574.427477,321098.2544,3164.858411,2437.875985,323536.1304,552.0248099,595.9102718,592.9536371,20.02732673,0.045007414,2.094215255,0.00016616,0.00020579,0.028719568,0.015206319,0.006756624,44.75876047
17,129.5347395,298006.985,175206271.5,588.182393,0.009565399,1,1,26248.13069,451631.9688,298466.4998,297877.4503,143.3624855,297202.2858,411.9775602,536.3380774,297738.6238,545.1524318,610.6976698,608.6970774,30.43773715,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
18,4047.960525,450187.6255,264155701.3,592.0919436,0.009565399,1,1,39672.10712,451631.9688,451631.9688,446139.6649,1444.330139,450788.3967,542.9396831,300.6419137,451089.0386,545.0896937,617.5420561,613.644081,33.27368505,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
19,12786.91618,260636.6415,136191494.2,549.4922136,0.009565399,1,1,39614.98687,451631.9688,451631.9688,247849.7253,190994.6846,256637.2284,189911.4898,5082.454402,261719.6828,523.7368421,561.6849497,563.054849,18.22038283,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
20,2280.061219,20122.49098,7060150.333,395.6944444,0.068404653,0,0,29789.69988,451631.9688,451631.9688,17842.42976,431509.4757,13960.31186,433986.8646,3684.781723,17645.09359,456.5,375.6041667,354.9791667,43.81274051,0.045007414,2.094215255,0.00016616,0.00020579,0.091351072,0.045458234,0.022946419,44.75876047
21,2919.973596,8331.082296,2155716.02,398.3871218,0.128161646,0,0,17718.58129,451631.9688,451631.9688,5411.1087,443300.8835,7871.109036,443253.1555,507.7012379,8378.810274,413.252982,389.0241907,392.8841927,10.62921299,0.045007414,2.094215255,0.00016616,0.00020579,0.228432433,0.02789086,0.100270786,44.75876047
22,5276.31041,13372.4098,2869617.45,354.4444444,0.069484467,0,1,14143.10663,451631.9688,263184.7981,8096.09939,250058.9705,10767.61988,250305.0135,2355.801581,13123.42146,300.6666667,365.75,396.9166667,40.09885547,0.045007414,2.094215255,0.00016616,0.00020579,0.134470585,0.00449835,0.064986118,44.75876047
23,4326.121247,229902.4829,146347664.3,648.7721642,1.288630641,0,0,395.6772308,451631.9688,268567.7016,225576.3617,38791.99673,228558.2599,37575.60156,2559.381577,231117.6415,618.8042973,662.6733449,664.8388502,21.20891534,0.045007414,2.094215255,0.00016616,0.00020579,1.771748752,0.80551253,0.483118111,44.75876047
24,1172.325117,144916.6361,66157287.38,460.2428222,1.415730457,0,0,2796.481756,451631.9688,329311.029,143744.311,184512.3404,152083.5124,176360.3901,983.0187976,153066.5312,468.7702871,444.9858549,466.9723247,10.81324674,0.045007414,2.094215255,0.00016616,0.00020579,1.788372166,1.043088747,0.37264171,44.75876047
25,394.8265449,341889.7896,193160675.1,565.6325744,0.051752025,0,0,21793.13087,451912.5938,346410.3415,341494.9631,4733.544686,344802.1223,891.7741712,931.3192969,345733.4416,541.942725,578.2650302,576.689968,16.76359008,0.045007414,2.094215255,0.00016616,0.00020579,0.0596438,0.043860249,0.007891776,44.75876047
26,325.1985419,449897.7464,269214107.6,598.8223899,0.052225532,0,0,25870.41354,451912.5938,451912.5938,449572.5479,2014.838443,447255.1822,1121.278809,3536.121024,450791.3033,557.1731533,619.2268997,620.0671168,29.45245517,0.045007414,2.094215255,0.00016616,0.00020579,0.060101656,0.044349409,0.007876123,44.75876047
27,183.4430432,449334.1179,273481922.2,608.8868113,0.034330142,0,0,29997.27039,451912.5938,451912.5938,449150.6749,2578.468122,449019.0921,2540.529902,352.96047,449372.0525,568.5329755,630.2086845,627.9187739,28.54978078,0.045007414,2.094215255,0.00016616,0.00020579,0.042063708,0.026596577,0.007733566,44.75876047
28,131.4898236,447515.8575,273412216.6,611.1349353,0.029479907,0,0,31397.52539,451912.5938,451912.5938,447384.3677,4396.741292,447556.193,4002.539617,353.8531488,447910.0462,563.3966398,638.2253012,631.7828648,33.85838043,0.045007414,2.094215255,0.00016616,0.00020579,0.036915452,0.022044361,0.007435546,44.75876047
29,58920.29873,363835.9174,171438236.9,562.2481315,0.044581065,0,0,28409.22175,451912.5938,451912.5938,304915.6187,88076.66961,333638.7832,89630.08737,28643.71649,362282.4996,529.3828125,579.268597,578.0929849,23.2442453,0.045007414,2.094215255,0.00016616,0.00020579,0.047160723,0.042001408,0.002579658,44.75876047
30,15503.7482,67596.39468,18787973.69,360.6646035,0.024838786,0,0,51069.95719,451912.5938,451912.5938,52092.64648,384316.2075,43561.42797,399124.3766,9226.783256,52788.21123,386.7934783,342.6423611,352.557971,18.91416407,0.045007414,2.094215255,0.00016616,0.00020579,0.023921798,0.025755775,0.000916989,44.75876047
31,20919.82646,80294.13298,22652390.95,381.5184088,0.010591533,0,0,98457.35477,451912.5938,451912.5938,59374.30652,371618.454,57894.44449,387022.5842,6995.562155,64890.00665,411.4200913,369.9121622,363.222973,21.31930698,0.045007414,2.094215255,0.00016616,0.00020579,0.015561834,0.005621231,0.004970302,44.75876047
32,5779.749982,11046.39524,2132814.401,404.9664063,0.009565399,1,1,25325.6608,451912.5938,96365.70574,5266.645253,85474.19218,8203.697542,86369.80369,1953.155008,10156.85255,403.3932127,405.2050028,406.3010032,1.199029477,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
33,36.42080892,103470.5336,76842453.71,742.912098,1.288630641,0,0,157.9449944,451912.5938,104670.2773,103434.1128,1369.261709,103617.3792,1104.050339,118.1890903,103735.5683,717.3399123,764.6507675,746.745614,19.50386527,0.045007414,2.094215255,0.00016616,0.00020579,1.771748752,0.80551253,0.483118111,44.75876047
34,621.0283286,446639.7902,328776500.1,737.1360315,1.288630641,0,0,661.726398,451912.5938,449494.8103,446018.7619,2875.815615,447110.8587,1858.532313,546.4013662,447657.26,693.3802698,762.2415683,755.7862563,31.05202916,0.045007414,2.094215255,0.00016616,0.00020579,1.771748752,0.80551253,0.483118111,44.75876047
35,2707.458531,322226.4782,194543888.8,608.864815,1.438552071,0,0,8593.742813,451912.5938,386357.559,319519.0197,64260.58725,316287.1199,66248.55821,3935.767997,320222.8879,576.4307439,628.4224138,621.7412874,23.09597496,0.045007414,2.094215255,0.00016616,0.00020579,1.790530408,1.086573735,0.351978336,44.75876047
36,600.179222,156805.8404,91635336.51,586.6326215,0.081251832,0,0,8914.657486,452143.9375,159262.6398,156205.6612,2696.162303,156778.3326,804.1686972,1919.769562,158698.1022,548.8765088,608.2836583,602.7376973,26.79343767,0.045007414,2.094215255,0.00016616,0.00020579,0.079051285,0.083452379,0.002200547,44.75876047
37,984.936904,373574.3953,233215591.4,625.9318027,0.233294012,0,0,12991.28488,452143.9375,376883.4365,372589.4584,3498.633895,372278.4029,2527.093923,2267.105495,374545.5084,584.7435374,644.5158163,648.5360544,29.17070994,0.045007414,2.094215255,0.00016616,0.00020579,0.154031629,0.312556394,0.079262382,44.75876047
38,234.1770766,451445.7835,277983212.8,616.0816984,0.164374282,0,0,25172.12544,452143.9375,452143.9375,451211.6064,698.1548747,450098.6034,1041.561021,1003.781817,451102.3852,574.4180414,636.6300366,637.1970173,29.46156373,0.045007414,2.094215255,0.00016616,0.00020579,0.049826444,0.27892212,0.114547838,44.75876047
39,1513.487612,451183.4801,274194804.3,609.7689613,0.153815392,0,0,26927.13151,452143.9375,452143.9375,449669.9925,960.4653614,450405.6434,1128.372686,609.9142867,451015.5577,558.7238252,636.5744097,634.0086491,36.10955757,0.045007414,2.094215255,0.00016616,0.00020579,0.040041457,0.267589327,0.113773935,44.75876047
40,138842.7975,443530.1229,144508722.4,474.2853094,0.17887661,0,0,24090.77313,452143.9375,452143.9375,304687.3254,8613.822161,421032.4045,5617.659702,25493.86273,446526.2673,479.7378345,468.8791743,474.2389192,4.433150864,0.045007414,2.094215255,0.00016616,0.00020579,0.055161245,0.302591974,0.123715365,44.75876047
41,87452.80806,307651.1451,100978435.3,458.579464,0.128223404,0,0,37814.08922,452143.9375,452143.9375,220198.337,144492.7857,259124.3511,150641.5892,42378.01064,301502.3618,479.5510471,446.8631261,449.3242188,14.86314724,0.045007414,2.094215255,0.00016616,0.00020579,0.061758913,0.194687894,0.06646449,44.75876047
42,64931.79824,318916.9153,111514931.9,439.0608914,0.091051751,0,0,67177.05577,452143.9375,452143.9375,253985.117,133227.0087,295004.5034,131721.5616,25417.85734,320422.3608,461.6271186,434.2988748,421.2566807,16.82162627,0.045007414,2.094215255,0.00016616,0.00020579,0.067205385,0.114898116,0.023846365,44.75876047
43,3204.88548,18396.83197,6758014.041,444.8418803,0.009565399,1,1,23722.81223,452143.9375,89264.15657,15191.94649,71038.89006,19252.7138,68985.59901,1194.553166,20447.26696,439.8589744,450.8589744,443.8076923,4.549883417,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
44,206.8474782,72383.93198,44316609.97,613.9983386,1.323559056,0,0,1277.977089,452143.9375,81801.47911,72177.0845,9625.106256,71867.97613,9703.969181,437.094794,72305.07093,595.0879121,617.0218579,629.8852459,14.36592872,0.045007414,2.094215255,0.00016616,0.00020579,1.18757757,1.459540542,0.135981486,44.75876047
45,18.21972676,159160.3801,106440707.2,668.8404061,1.293882775,0,0,1971.453978,452143.9375,159019.7136,159142.1604,121.1075969,158976.6612,233.7305087,71.09265512,159047.7538,600.0609172,702.0763176,704.3839836,48.64356692,0.045007414,2.094215255,0.00016616,0.00020579,1.350157542,1.237608009,0.056274767,44.75876047
46,5.80530474,177456.2041,115046794.3,648.3321256,1.210503315,0,0,1162.17666,452143.9375,178588.7752,177450.3988,1457.310168,177383.9539,1505.717414,23.48915675,177407.4431,581.7898551,686.6304348,676.576087,47.23118887,0.045007414,2.094215255,0.00016616,0.00020579,1.40661487,1.01439176,0.196111555,44.75876047
47,0,5678.838453,4071648.298,716.9861111,1.581344756,0,0,2.819359042,452143.9375,5845.227426,5678.838453,215.0642173,5673.301095,220.5122774,0,5673.301095,635.6166667,758.2666667,757.075,57.53894266,0.045007414,2.094215255,0.00016616,0.00020579,1.787652863,1.375036649,0.206308107,44.75876047
48,0.446561899,40138.94922,27761771,691.6493931,1.581344756,0,0,23.2599146,452143.9375,39909.32763,40138.50266,14.02204463,40135.19793,16.16554199,1.607622919,40136.80555,643.1148459,722.6260504,709.2072829,34.75358524,0.045007414,2.094215255,0.00016616,0.00020579,1.787652863,1.375036649,0.206308107,44.75876047
49,3.572495193,19702.84747,14629825.06,742.658046,1.399256147,0,0,17.13214406,452143.9375,19651.67138,19699.27497,62.69729415,19707.66986,60.46448091,2.143497157,19709.81336,717.3074713,751.6350575,759.0316092,18.17811822,0.045007414,2.094215255,0.00016616,0.00020579,1.777661277,1.020851017,0.37840513,44.75876047
50,71.2712836,324522.425,244591704.2,753.8629509,1.292698004,0,0,473.4156507,452143.9375,325268.1124,324451.1537,915.7198249,324841.2802,476.2136221,119.9465282,324961.2267,722.2019544,777.0327543,762.354144,23.17584121,0.045007414,2.094215255,0.00016616,0.00020579,1.772455447,0.81294056,0.479757444,44.75876047
51,776.3925309,450063.2386,340472057.9,757.805533,1.432229024,0,0,6263.113354,452143.9375,452143.9375,449286.8461,2080.710659,448880.1185,1381.305299,1882.526303,450762.6448,715.2170857,787.4084888,770.7910246,30.86926101,0.045007414,2.094215255,0.00016616,0.00020579,1.790054103,1.074403946,0.357825079,44.75876047
52,3447.547242,408950.7848,275191970.4,678.6430907,1.445727545,0,0,18946.99954,452143.9375,451826.5218,405503.2376,42885.84068,405414.4377,42754.90806,3667.166436,409081.6042,654.0618132,696.0784583,685.7890006,17.88197672,0.045007414,2.094215255,0.00016616,0.00020579,1.791171181,1.100283908,0.345443636,44.75876047
53,3102.53363,58811.31191,24985605.01,448.5039124,1.445782928,0,0,3834.645825,452143.9375,90110.20759,55708.77828,31431.43813,48770.09742,37704.73996,3767.107114,52537.20454,469.6173709,434.370892,441.5234742,15.21235148,0.045007414,2.094215255,0.00016616,0.00020579,1.79117606,1.100389795,0.345393133,44.75876047
54,2.055011773,10057.76397,5095486.104,506.7256944,0.009565399,1,1,0.002942456,452325.9688,10083.13897,10055.70896,101.9464533,10052.13497,107.6647475,0,10052.13497,463.4895833,539,517.6875,31.78654476,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
55,154.4832772,77545.06626,38271195.29,494.5200542,0.009565399,1,1,0.022312375,452325.9688,78750.37429,77390.58298,1379.091613,77153.98911,1417.868829,353.9087727,77507.89788,489.4105691,496.8422764,497.3073171,3.617936258,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
56,35.02455034,71249.40336,34614246.42,486.0569874,0.009565399,1,1,0.019384026,452325.9688,71392.09045,71214.37881,238.023978,71055.43183,237.3092028,193.7072013,71249.13904,459.580756,506.3402062,492.25,19.5853108,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
57,6.7011254,137278.9902,70124665.84,510.8435673,0.009565399,1,1,0.036767449,452325.9688,137556.9539,137272.2891,591.1286154,136320.6428,1232.292341,313.0765911,136633.7194,501.2719298,519.1359649,512.122807,7.348844725,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
58,40.29610013,319309.1644,167453190.7,524.4895676,0.009565399,1,1,0.085130337,452325.9688,319901.8253,319268.8683,916.0884899,318390.4877,1470.673628,363.9157842,318754.4035,504.6104827,536.5548643,532.303356,14.16338813,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
59,12.24072291,52978.20314,26997111.88,509.7068127,0.009565399,1,1,0.015127197,452325.9688,53213.81576,52965.96242,363.1116489,52644.75566,591.9327507,104.6269066,52749.38257,499.9647202,513.2664234,515.8892944,6.971424399,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
60,120.6202597,173683.169,99501719.78,573.2902661,0.182330693,0,0,0.641745934,452325.9688,173558.0733,173562.5488,84.97027111,173510.5415,129.5550952,127.9468245,173638.4884,558.2923669,578.7787115,582.7997199,10.73141375,0.045007414,2.094215255,0.00016616,0.00020579,0.182330693,,,44.75876047
61,134.8266417,408374.8006,239903293.9,587.652629,0.384347469,0,0,888.2168679,452325.9688,408408.4785,408239.9739,169.4937945,408237.5744,204.2503074,102.2145006,408339.7889,560.9721726,600.8324405,601.1532738,18.86638628,0.045007414,2.094215255,0.00016616,0.00020579,0.202477445,0.566217492,0.181870024,44.75876047
